================================================================================
FAILED PREDICTIONS REPORT
================================================================================
Total Failures: 12185

Image Only Failed: 11234
Radar Only Failed: 951
Both Failed: 0

--------------------------------------------------------------------------------
Filename                                 | Truth      | Img Pred   | Rad Pred   | Img Conf   | Rad Conf  
Sample_2763                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2764                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2765                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2766                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2767                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2768                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2769                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2770                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2771                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2772                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2773                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2774                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2775                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2776                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2777                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2778                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2779                              | Person     | Cyclist    | Person     | 99.67%     | 100.00%   
Sample_2780                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2781                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2782                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2783                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2784                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2785                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2786                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2787                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2788                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2789                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2790                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2791                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2792                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2793                              | Person     | Cyclist    | Person     | 99.60%     | 100.00%   
Sample_2794                              | Person     | Cyclist    | Person     | 99.60%     | 100.00%   
Sample_2795                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2796                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2797                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2798                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2799                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2800                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2801                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2802                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2803                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2804                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2805                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2806                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2807                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2808                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2809                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2810                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2811                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2812                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2813                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2814                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2815                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2816                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2817                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2818                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2819                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2820                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2821                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2822                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2823                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2824                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2825                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2826                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2827                              | Person     | Cyclist    | Person     | 99.60%     | 100.00%   
Sample_2828                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2829                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2830                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2831                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2832                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2833                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2834                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2835                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2836                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2837                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2838                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2839                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2840                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2841                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2842                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2843                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2844                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2845                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2846                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2847                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2848                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2849                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2850                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2851                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2852                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2853                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2854                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2855                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2856                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2857                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2858                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2859                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2860                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2861                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2862                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2863                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2864                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2865                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2866                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2867                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2868                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2869                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2870                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2871                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2872                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2873                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2874                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2875                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2876                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2877                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2878                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2879                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2880                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2881                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2882                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2883                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2884                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2885                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2886                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2887                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2888                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2889                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2890                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2891                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2892                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2893                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2894                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2895                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2896                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2897                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2898                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2899                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2900                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2901                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2902                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2903                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2904                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2905                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2906                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2907                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2908                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2909                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2910                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2911                              | Person     | Cyclist    | Person     | 99.60%     | 100.00%   
Sample_2912                              | Person     | Cyclist    | Person     | 99.59%     | 100.00%   
Sample_2913                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2914                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2915                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2916                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2917                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2918                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2919                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2920                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2921                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2922                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2923                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2924                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2925                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2926                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2927                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2928                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2929                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2930                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2931                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2932                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2933                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2934                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2935                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2936                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2937                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2938                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2939                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2940                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2941                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2942                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2943                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2944                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2945                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2946                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2947                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2948                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2949                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2950                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2951                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2952                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2953                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2954                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2955                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2956                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2957                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2958                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2959                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2960                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2961                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2962                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2963                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2964                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2965                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2966                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2967                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2968                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2969                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2970                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2971                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2972                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2973                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2974                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2975                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2976                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2977                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2978                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2979                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2980                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2981                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2982                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2983                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2984                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2985                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2986                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2987                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2988                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2989                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2990                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2991                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2992                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2993                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2994                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2995                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2996                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2997                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2998                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2999                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3000                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3001                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3002                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3003                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3004                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3005                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3006                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3007                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3008                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3009                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3010                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_3011                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3012                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3013                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3014                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3015                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3016                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_3017                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3018                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3019                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3020                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3021                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3022                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3023                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3024                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3025                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3026                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3027                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3028                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3029                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_3030                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3031                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3032                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3033                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3034                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3035                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_3036                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3037                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3038                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3039                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3040                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_3041                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_3042                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
